"var1","var2","var3","var4","var5", "var6"
"1","p",0.138213291751048,4.71936542645562,37,"West Virginia"
"2","e",0.302953339469419,9.25328790128697,20,"Iowa"
"3","b",-0.241363246221734,6.91740071761888,17,"Tennessee"
"4","x",1.08559433583607,7.44763218227308,45,"Wisconsin"
"5","j",-1.07225735730872,6.68901799619198,41,"Idaho"
"6","i",-0.367382255427046,4.49622022721451,50,"Nebraska"
"7","b",-1.7668024055325,4.20911002228968,24,"Wyoming"
"8","p",-0.320213482343977,8.08827341196593,36,"Florida"
"9","t",0.205701347180689,7.53172514727339,13,"Washington"
"10","b",0.0675333371283492,2.41414434486069,49,"New Jersey"
"11","x",-0.796766563927335,4.72373271221295,23,"Iowa"
"12","k",1.69905756291859,7.99076367961243,25,"Mississippi"
"13","l",-1.4388065694071,6.0043201611843,49,"North Carolina"
"14","i",-0.127763707114228,4.13333522656467,12,"Washington"
"15","h",-0.280893763492508,6.01517518318724,46,"Wyoming"
"16","t",0.0341544773673816,4.29688973154407,12,"Massachusetts"
"17","n",-0.248742652040223,6.15093932521995,34,"Ohio"
"18","u",0.981199775557121,9.42546014196705,30,"Montana"
"19","c",0.625235701051642,1.17407203582115,34,"Nevada"
"20","v",0.297760040488989,1.52089681825601,22,"Maryland"
"21","w",-1.10567807125462,6.92667257634457,30,"Delaware"
"22","u",0.7999101810775,4.46608559985179,34,"Maryland"
"23","n",-0.46785723441923,2.34105898346752,42,"Hawaii"
"24","v",-2.49912610008845,3.14653773116879,18,"New Hampshire"
"25","x",-0.441501959532383,8.65295222902205,11,"Oregon"
"26","i",0.345968004051467,1.95766584796365,50,"Nevada"
"27","z",0.765538453067481,1.15621226187795,12,"Hawaii"
"28","c",-0.347856478456009,7.29496354691219,42,"Tennessee"
"29","w",-0.983213024761018,5.67744400945958,46,"West Virginia"
"30","a",-0.112280389033766,1.68703060899861,27,"Florida"
"31","o",1.11234689520022,8.58785796945449,45,"Virginia"
"32","j",0.414288087476855,8.54034095117822,41,"Alabama"
"33","c",-0.303486947895944,1.64986974303611,17,"Idaho"
"34","h",-0.817268357400034,1.27193718764465,41,"Arizona"
"35","d",0.914352028552841,3.93171807692852,18,"Colorado"
"36","j",1.23104365866055,2.83946471952368,14,"Illinois"
"37","f",-0.370885281362329,4.25367745675612,31,"Maryland"
"38","x",-0.269047991554051,1.00935043138452,12,"Kentucky"
"39","w",-0.407045738652798,8.91766058362555,33,"Wyoming"
"40","m",-0.00311705952544597,1.13321010314394,44,"Minnesota"
"41","n",0.206773258075639,8.45822964317631,32,"Illinois"
"42","v",1.98569320093034,2.18989958160091,23,"Wyoming"
"43","w",-0.642944037078373,2.16538357222453,43,"Louisiana"
"44","e",-0.73049131975361,8.08034697989933,44,"Idaho"
"45","c",0.834774970834282,9.15617927897256,49,"Michigan"
"46","e",-1.51809279178481,9.23282017291058,29,"Arkansas"
"47","s",-0.116308407333013,8.90110416349489,30,"Wyoming"
"48","a",-0.549309170528957,8.02364439389203,43,"Iowa"
"49","x",0.333568438704796,5.27164655376691,39,"New York"
"50","e",1.07496928541562,9.08708284061868,13,"Missouri"
"51","a",1.21955509304453,6.98475973680615,34,"Ohio"
"52","v",0.281079754127324,9.13140362675767,50,"Texas"
"53","b",1.06676540009823,8.84280952427071,30,"Kentucky"
"54","k",0.00326980263002117,3.52576895791572,40,"Louisiana"
"55","g",0.620901982491407,6.87023789377417,38,"West Virginia"
