"var1"	"var2"	"var3"	"var4"	"var5"	"var6"
"1"	"h"	-0.244243553947509	8.57673284132034	31	"Kentucky"
"2"	"l"	0.403466457290324	3.50028973584995	34	"Montana"
"3"	"b"	0.435187173502377	1.65405384893529	10	"Rhode Island"
"4"	"w"	-2.49768771392623	5.52527633565478	11	"Indiana"
"5"	"w"	-0.63309277699954	6.28143313422333	27	"Pennsylvania"
"6"	"y"	-0.0935477099732553	1.254757474293	24	"West Virginia"
"7"	"z"	-0.672873724945276	1.18034187750891	24	"Vermont"
"8"	"k"	0.325535695230624	2.77434613334481	45	"Arizona"
"9"	"a"	-0.410724397370373	6.78969508421142	25	"Wisconsin"
"10"	"h"	-0.00828366354231259	7.29585512948688	30	"Missouri"
"11"	"k"	0.0500675931337749	6.3672941562254	42	"Kentucky"
"12"	"g"	1.14186468687481	8.295175804873	31	"Hawaii"
"13"	"c"	0.631542214410167	8.16659300238825	29	"Mississippi"
"14"	"l"	0.898862504685115	4.65540987474378	12	"Alabama"
"15"	"g"	-0.732192890640393	2.90728887333535	13	"Missouri"
"16"	"a"	1.59694111507981	6.26805344852619	49	"Maryland"
"17"	"i"	1.01938747244299	4.73876085632946	25	"North Carolina"
"18"	"w"	-0.366787435277489	3.39802376111038	36	"South Dakota"
"19"	"f"	1.0755417564907	9.27547182142735	13	"Kansas"
"20"	"h"	2.12805712514529	3.81728513131384	45	"Oregon"
"21"	"y"	-1.82821191466705	2.54932083457243	13	"Hawaii"
"22"	"o"	0.113263816584005	6.94867793377489	49	"Maryland"
"23"	"c"	-0.351175809473086	5.25956953514833	47	"South Dakota"
"24"	"k"	-0.194997554235056	8.85021064640023	24	"Alaska"
"25"	"q"	-0.185481005739416	4.63434202596545	39	"Illinois"
"26"	"a"	-1.3902890968363	2.33135701355059	44	"Alaska"
"27"	"u"	-0.237139307517676	1.46726981690153	41	"Delaware"
"28"	"x"	-0.160953072208084	7.92852911888622	42	"West Virginia"
"29"	"d"	-1.7566490188885	3.87079877208453	38	"California"
"30"	"s"	1.16970723102727	6.20990200818051	18	"Texas"
"31"	"l"	0.22083324912668	3.80499324807897	17	"Utah"
"32"	"q"	1.70888825854777	1.89563496026676	21	"Virginia"
"33"	"l"	0.755205703399676	6.93609967059456	10	"South Dakota"
"34"	"n"	0.379380322678205	4.71376136841718	14	"Florida"
"35"	"n"	-0.0909468981895402	1.77912716963328	15	"North Dakota"
"36"	"v"	-0.363033829770819	7.39908334123902	22	"Virginia"
"37"	"w"	-0.49303868561102	3.70522840204649	16	"Virginia"
"38"	"n"	-0.676486169921236	7.63060500298161	16	"Nebraska"
"39"	"x"	0.112411713671873	6.75124685128685	15	"Massachusetts"
"40"	"u"	0.50833094621216	5.74179481517058	45	"Georgia"
"41"	"e"	-0.658405973274774	7.82540857396089	22	"Utah"
"42"	"d"	0.0513891871484847	1.42688146943692	50	"Idaho"
"43"	"g"	-0.54168337332611	6.00139940239023	42	"Vermont"
"44"	"f"	0.684779498449027	4.31483550556004	29	"Wisconsin"
"45"	"h"	-0.868513541799434	4.03341465024278	45	"South Carolina"
"46"	"x"	1.40684930341124	4.99637580104172	26	"Minnesota"
"47"	"u"	-1.60178490770582	6.2984040863812	32	"Tennessee"
"48"	"d"	0.72971628809045	6.98655266861897	25	"New Jersey"
"49"	"o"	0.498914332106372	6.22150703868829	45	"Iowa"
"50"	"z"	-1.5835311058305	3.82444731355645	44	"Alaska"
"51"	"h"	-0.342159980115133	3.88592493114993	31	"Wyoming"
"52"	"v"	-1.00519031777631	1.45802215021104	14	"New Mexico"
"53"	"y"	-0.502403625222334	8.10724736528937	23	"Utah"
