var1,var2,var3,var4,var5
u,0.5576518359228423,9.201341326115653,18,Mississippi
j,0.3763210864772272,2.2056469697272405,21,Connecticut
w,1.7144626652432702,5.742991040460765,18,Arizona
b,-1.2123994136130478,5.771598300198093,37,California
c,0.2430875848086661,7.760906241484918,27,South Dakota
l,-1.719806658641463,4.263556374469772,35,Pennsylvania
m,1.2563327834549671,9.175561393727548,37,Montana
j,0.39913426108925387,9.499513853690587,14,Iowa
c,-0.9999734017086885,8.194511339301243,32,Minnesota
s,0.24204072246830488,4.25098314799834,19,Illinois
a,-1.3281368770472761,2.175174081348814,13,Illinois
q,-1.5657916225260033,5.894397193565965,22,Louisiana
v,-0.173782908668236,9.382645693956874,35,Texas
n,1.0783692520453094,5.651393209001981,50,Maryland
e,0.07911099382050389,6.426926293992437,12,Delaware
z,-1.132042846968377,1.141181893297471,26,New Hampshire
o,2.2044075871142086,3.956303776940331,42,Oregon
a,0.91333966211046,5.86379331711214,23,Wisconsin
r,-0.2647662817301337,1.1595365372486413,38,Minnesota
p,0.6903283965854445,7.415877410909161,14,Idaho
s,-0.5265091347682118,7.306854458642192,13,Arizona
u,0.8894965988680167,2.1464829430915415,48,Alabama
l,0.3985339619219102,5.823756830766797,18,North Dakota
j,1.2993905749046322,7.852052676957101,32,Tennessee
n,-1.1774386565309434,7.65089934587013,18,Maryland
k,-0.5503738398835535,3.197169133578427,49,Oklahoma
e,0.7867139437547546,2.7199932878138497,39,California
h,-1.1849101489770515,6.04305865499191,40,Minnesota
h,-0.06370526418034157,1.1479312237352133,28,Oklahoma
j,-0.4321963662518492,9.152375663281418,28,Oregon
c,-0.23845439511191568,9.434634082717821,26,Ohio
v,1.2421031580760764,8.743546336423606,30,Virginia
v,0.5714485350989916,4.694296081666835,40,Massachusetts
j,0.9671679235853758,3.4339095421601087,33,Ohio
m,-1.7857571908701493,8.106411259737797,18,South Dakota
d,-1.2297981041330177,3.8740312586305663,28,New Jersey
k,-0.2595258065352821,6.613050208427012,19,Mississippi
w,0.1319316624381661,7.407040383433923,43,Vermont
n,-0.2881621512832212,6.335955824702978,37,Missouri
n,0.14658682713401108,6.354140202165581,23,North Carolina
s,0.7169149649886345,4.055456988397054,15,South Carolina
y,-1.2437638604146428,8.076894580153748,39,Virginia
u,0.3130332965799754,5.874418144696392,33,Wyoming
s,0.045778024236533016,9.402276420267299,43,Georgia
q,0.06807943778945429,8.196633905405179,29,Massachusetts
l,0.0011079984376923082,4.226112112984993,46,Indiana
n,2.4409028484952513,3.6033369110664353,11,Washington
w,-1.8412951119626455,6.640573766315356,36,Maryland
d,-1.231939315178351,2.7638276644283906,38,Wyoming
v,-0.002222684426639265,3.114386633154936,35,Georgia
v,0.06958433092204873,2.9953286192612723,19,Idaho
q,0.7230702837293277,2.9216641649836674,23,Ohio
l,0.8554020067979731,7.430853846133687,43,South Dakota
y,-1.2540281853677502,6.215647165314294,26,South Carolina
s,0.4418312269671412,6.438326489762403,49,South Carolina
u,-1.0928643361849246,4.772444287431426,19,Alaska
n,0.2851675484649643,8.9801909228554,19,Colorado
z,0.25504885493151663,1.1908608411904424,20,Connecticut
x,1.7289477594513063,6.549301157821901,13,New Mexico
n,0.21189719855926512,4.586177571909502,34,Illinois
w,1.6447935636248525,8.424433178035542,29,Nebraska
c,-0.6433576894396825,1.8472032241988927,39,Nevada
w,-0.4744484244374245,3.699907023110427,28,Pennsylvania
a,-1.43632318833416,1.814951352425851,36,Pennsylvania
y,0.5363109889352166,6.676329439971596,20,Nevada
j,-0.6504697976380793,2.638536839047447,17,North Dakota
q,0.048728647532369364,7.837915638461709,41,Tennessee
t,0.5177337187665318,4.260445285472088,19,Alaska
p,0.4257411796182325,7.1902859405381605,42,New Mexico
x,-0.1067587886942597,8.092262162826955,33,Mississippi
s,0.38172463060718587,5.195080949226394,40,California
i,0.97717183105785,2.73114503826946,35,Louisiana
i,2.0191582534009833,9.296930314972997,20,Nevada
z,-1.1034432093228952,5.768323224270716,32,Iowa
v,-0.9956275885584251,3.023556530708447,41,South Dakota
q,-0.4306387560860759,2.1772101090755314,42,Nevada
m,-0.5018076911679449,8.585241471417248,48,Wisconsin
g,-0.5138610263307178,2.37030981190037,11,Oregon
e,-1.009216491984579,7.94222901656758,29,Ohio
d,-0.939735807258548,2.0716184498742223,27,Indiana
a,-3.55435595770397,5.440721519291401,49,Texas
e,-0.647992756983697,8.883607523399405,11,Wisconsin
b,0.06443341691448208,2.2901544905034825,18,Georgia
a,-0.4711652300785135,6.8855286948382854,22,Texas
z,0.18786433625568671,1.7708317219512537,38,Colorado
z,0.40574704558109825,6.361586195533164,29,Montana
r,0.823920446995349,8.399309533764608,13,New York
w,-0.9527512339967875,2.993258686270565,36,New Mexico
d,0.3104154042636912,3.587889623711817,46,California
e,-0.09599679902589879,1.9671240490861237,50,Texas
f,-0.5734459311217549,9.435065745492466,43,Virginia
c,1.3951014792173428,5.997390918317251,18,Oklahoma
l,-1.3911783151186121,6.682417194242589,21,West Virginia
j,-0.7070442434526554,6.458213500445709,27,New Jersey
i,-0.2724315172535513,7.576621072134003,18,New Mexico
m,-0.9741047425447383,7.554267225903459,48,Arizona
i,-0.6751703832165058,1.6897520467173308,47,Alaska
c,0.7793079472237487,5.618104685563594,39,Indiana
s,1.0272301813145108,8.647329215542413,10,West Virginia
h,1.327912007208567,5.169709975831211,37,Pennsylvania
