var1	var2	var3	var4	var5
k	-0.6537046457797677	4.415508346515708	32	Utah
g	1.9895339482738745	4.14293308602646	49	Washington
s	-0.9406763172482057	1.805851511657238	25	California
f	0.866787318785333	5.126535544637591	45	Pennsylvania
b	0.2433365540019159	2.409990298910998	46	California
a	0.35904750409960895	5.457227190374397	33	Georgia
p	0.6810127096847255	2.9132510700728744	12	Maryland
s	0.4508187558104128	5.27705892000813	16	Wisconsin
o	-0.6002227510601005	1.6867136446526274	40	Missouri
w	-1.0560253365350862	7.612185089616105	13	Oregon
p	-0.8299891499146559	9.279191293404438	35	Pennsylvania
z	1.6179116470637471	8.3467319450574	45	Connecticut
c	0.9320411781685437	9.481243013055064	24	Wyoming
o	-2.458360429079855	9.225668147206306	17	Pennsylvania
s	2.4229636107403256	2.1548897188622504	37	Indiana
i	0.3266369287256296	6.0976623048773035	36	Missouri
k	-0.12003892474316816	1.603378901258111	27	Kentucky
u	1.039263139301498	4.098827580106445	34	Arizona
y	-0.03805530641554954	8.981426424579695	32	Iowa
f	-1.1840084032695772	7.968580450164154	25	Massachusetts
