"var1"	"var2"	"var3"	"var4"	"var5"
"1"	"t"	-1.69400280526745	4.34465980832465	32	"Iowa"
"2"	"l"	-0.704838626342353	3.42203603824601	46	"New York"
"3"	"o"	0.0673734044556063	5.92661559744738	31	"North Carolina"
"4"	"e"	-1.18434263002111	9.43332349148113	31	"Wisconsin"
"5"	"w"	0.23901022659669	2.87304881366435	23	"Michigan"
"6"	"i"	-1.51654796560349	3.6689368680818	47	"Utah"
"7"	"l"	-0.360232946747566	4.61435189435724	16	"New York"
"8"	"b"	-0.361319926807616	1.76053367683198	23	"West Virginia"
"9"	"h"	1.07609591999817	2.0542817376554	48	"California"
"10"	"o"	0.814370087470287	8.68273491412401	16	"Maine"
"11"	"d"	-0.187936320136214	4.54219047713559	10	"New York"
"12"	"n"	-0.397671337040173	5.85919628024567	50	"Wisconsin"
"13"	"e"	0.481713905141623	7.97326694848016	21	"Minnesota"
"14"	"g"	-1.67815013361972	9.41380309383385	22	"North Dakota"
"15"	"c"	1.16540093763303	4.71961735689547	34	"Montana"
"16"	"g"	-1.50816101249129	1.7623554415768	33	"Massachusetts"
"17"	"r"	1.09921802893324	1.77834033675026	38	"West Virginia"
"18"	"x"	0.935904227283697	1.64952664123848	25	"Arkansas"
"19"	"r"	2.08487370712129	7.00042174826376	37	"Alaska"
"20"	"t"	-0.648156612422406	5.05115122743882	36	"Tennessee"
"21"	"s"	0.472843767212353	1.66478416044265	50	"Alaska"
"22"	"y"	0.416060338241699	6.22716811939608	32	"Georgia"
"23"	"s"	-0.0614102480841145	8.17528556438629	36	"Mississippi"
"24"	"k"	1.15883113994908	1.56667397124693	48	"Arkansas"
"25"	"q"	0.456660466185777	3.03373961616307	44	"Louisiana"
"26"	"e"	-0.292625908863451	1.7771747908555	39	"Missouri"
"27"	"d"	-1.40746882519923	8.28195751947351	36	"Missouri"
"28"	"c"	-0.459305194727046	6.48267558636144	37	"Pennsylvania"
"29"	"x"	1.00621192501484	9.43949418619741	11	"Colorado"
"30"	"r"	-1.16526710152782	5.49807013198733	24	"Massachusetts"
"31"	"u"	0.79364852922606	3.59377729694825	25	"Connecticut"
"32"	"q"	-0.483924716580203	1.10509797662962	47	"Delaware"
"33"	"s"	0.338372842073681	4.09245620667934	48	"Iowa"
"34"	"i"	0.983254409855456	6.85749319358729	39	"South Carolina"
"35"	"p"	0.691636413447871	1.5730129533913	25	"Minnesota"
"36"	"m"	-1.30785792788361	2.13148646987975	46	"Tennessee"
"37"	"f"	-0.155644344413128	5.42256296658888	25	"Delaware"
"38"	"k"	0.216063757977758	2.66706431692	30	"Oklahoma"
"39"	"g"	-1.06628929980219	3.06127189577091	22	"North Dakota"
"40"	"r"	0.669161558374536	3.19017925031949	27	"Utah"
"41"	"g"	0.932252672183006	1.91343819443136	22	"Arizona"
"42"	"l"	1.03310574278112	5.10203677683603	14	"Pennsylvania"
"43"	"r"	1.39059193256763	7.91119570971932	50	"New Hampshire"
"44"	"v"	-0.383174562884723	8.63490466005169	11	"Vermont"
"45"	"b"	-0.0261495864635511	2.05084203160368	17	"Massachusetts"
"46"	"x"	-0.240496935729662	8.57895780995023	28	"Pennsylvania"
"47"	"l"	-0.894056026545129	3.89221169182565	28	"Vermont"
"48"	"l"	-0.264252553731504	3.69469816167839	49	"Texas"
"49"	"y"	1.28621600940814	7.34248276194558	13	"Maine"
"50"	"k"	-1.09836755442285	4.86827502842061	50	"Florida"
