"var1"	"var2"	"var3"	"var4"
"1"	"f"	"Y"	1.61440127657261	17
"2"	"n"	"M"	7.57438028487377	34
"3"	"h"	"I"	6.11762841464952	29
"4"	"v"	"V"	9.42099406349007	42
"5"	"s"	"Y"	2.80537177924998	21
"6"	"o"	"L"	8.53293791925535	14
"7"	"u"	"V"	6.66670380637515	15
"8"	"a"	"O"	8.46291241492145	20
"9"	"g"	"N"	3.51273109158501	48
"10"	"x"	"W"	5.67935666255653	29
"11"	"x"	"G"	9.37406304106116	24
"12"	"v"	"F"	4.90205777669325	35
"13"	"u"	"X"	3.55256169033237	20
"14"	"z"	"W"	2.62042452709284	43
"15"	"q"	"X"	7.30816179234535	46
"16"	"u"	"J"	1.09939197124913	13
"17"	"g"	"R"	5.50546736526303	37
"18"	"s"	"K"	2.71840794361196	33
"19"	"x"	"R"	7.29387953435071	20
"20"	"q"	"M"	4.44115085492376	19
