"var1","var2","var3","var4","var5", 'States'
"1","n",1.10545105615047,1.53388103819452,25,"Oklahoma"
"2","t",-0.245430550758402,3.90902749751695,24,"Ohio"
"3","q",-1.13005945601497,7.97863813838921,45,"Hawaii"
"4","m",0.786192476580446,1.36978209763765,12,"Indiana"
"5","u",-0.635127253510772,1.63650292123202,24,"Louisiana"
"6","y",1.08926259354166,4.56306822726037,49,"Tennessee"
"7","k",-1.14423523014401,1.09676601330284,23,"Florida"
"8","l",0.756599854376084,7.55165372614283,29,"Pennsylvania"
"9","x",0.168740796692922,3.35738512978423,44,"North Carolina"
"10","e",0.90797785199819,4.1232059992617,11,"Maryland"
"11","s",0.0822656673940469,4.40298559993971,48,"Hawaii"
"12","i",-0.912343917930271,5.93088424880989,50,"Massachusetts"
"13","h",1.64990334236543,6.90172726521268,23,"Kansas"
"14","z",-0.917065527296274,5.16336183657404,43,"Ohio"
"15","x",1.67751085960177,6.41631640633568,46,"New Jersey"
"16","h",0.834977432158656,5.66350486513693,20,"California"
"17","k",-0.121972904158748,3.5576101350598,37,"Washington"
"18","d",0.0606891577919625,4.22429705527611,47,"Florida"
"19","n",0.36711296553873,1.83174407633487,20,"Alabama"
"20","f",1.47492116396688,8.16803258878645,15,"Illinois"
"21","y",-0.947528595823142,6.11995839024894,34,"Alaska"
"22","v",0.82230648335192,8.08283451444004,32,"Kansas"
"23","u",-0.423221137489598,2.53805920667946,27,"Colorado"
"24","d",1.37112585852215,5.53259864763822,40,"Virginia"
"25","w",-1.83942751328464,2.58124956535175,49,"Missouri"
"26","x",-1.24791339721083,7.07919670070987,32,"Iowa"
"27","x",-0.146212987228685,2.50616339361295,27,"West Virginia"
"28","z",-0.305203159706211,6.3686976445606,38,"Iowa"
"29","p",0.50108972763863,2.73053799709305,29,"Montana"
"30","a",1.18065480068828,4.88756660115905,50,"Minnesota"
"31","d",-1.00486957950584,7.61832518212032,27,"New Jersey"
"32","w",-1.4943639010934,2.79456192930229,44,"Louisiana"
"33","g",-0.430810758618817,6.09070801304188,19,"Louisiana"
"34","k",2.63683823812216,6.9124905122444,11,"Missouri"
"35","r",-1.43977386005199,1.3593357159989,25,"Arizona"
"36","t",-0.0324364157611227,6.42182969872374,38,"Nevada"
"37","g",-0.871202460443848,8.59280125284567,45,"Georgia"
"38","y",1.34442770349111,8.17121981026139,18,"Wisconsin"
"39","w",-0.221193865634902,9.10937371314503,44,"Georgia"
"40","h",-0.225196138443301,1.98698805912863,20,"Alaska"
"41","w",0.213238887892456,4.86923839547671,22,"Virginia"
"42","g",-0.56766578852227,3.41890239389613,18,"Vermont"
"43","s",1.18083452182266,9.45557913277298,21,"New Mexico"
"44","e",0.139034216423238,1.58602090226486,38,"Montana"
"45","z",-1.0773760085313,6.41563009191304,43,"Arkansas"
"46","z",-1.46000804605377,8.55424880853388,45,"Florida"
"47","j",-0.254256770458132,4.76937879994512,14,"New Jersey"
"48","p",0.603071782483832,8.48447933723219,31,"Maine"
"49","s",1.16676653189983,2.72947581554763,44,"California"
"50","f",-0.36095286282283,6.88806435815059,33,"Colorado"
"51","j",0.965824566333698,7.15745718649123,14,"Iowa"
"52","t",-0.222290360176827,9.30575240054168,44,"Idaho"
"53","t",0.358892910728278,5.91690224793274,22,"Tennessee"
"54","z",0.166062269617281,2.50294860976283,28,"Georgia"
"55","f",-1.39979846918194,6.07167162233964,44,"California"
"56","d",-1.02504845643558,2.58509078121278,38,"Kansas"
"57","y",-0.108035505068384,8.42874304729048,15,"Tennessee"
"58","i",1.30975753994831,4.81315331393853,39,"Arizona"
"59","m",-0.497478785290999,9.04441850632429,18,"Massachusetts"
"60","u",-1.21415159140121,9.34195554966573,26,"Kentucky"
"61","f",-0.702078802987136,7.15133267908823,17,"Idaho"
"62","h",-0.539683020591662,5.88518740609288,10,"Nevada"
"63","c",0.427902464549933,2.73659724299796,30,"New Hampshire"
"64","k",0.35343771169562,1.2089308546856,26,"Alaska"
"65","h",-1.75635321098737,7.14554317912553,29,"Ohio"
"66","y",-0.332127326681924,1.88676688529085,10,"Arkansas"
"67","m",-0.530795180057173,1.42864150926471,24,"Pennsylvania"
"68","j",-0.704350939903391,7.71005293098278,32,"Kansas"
"69","p",-1.28745132997698,8.87286644382402,15,"Texas"
"70","b",-1.20591262725242,5.70963944238611,15,"Alaska"
"71","u",-0.853070600831917,1.30824602255598,43,"Connecticut"
"72","s",-0.249038165378843,5.81695834640414,42,"Kentucky"
"73","n",2.13786167118726,8.3904908442637,36,"West Virginia"
"74","v",1.21608542025939,3.39569806028157,19,"Montana"
"75","b",-1.10823213085933,7.43146737862844,36,"Connecticut"
"76","i",0.540125237347232,1.14378694246989,22,"Florida"
"77","d",1.72880728776559,3.04865618480835,10,"Louisiana"
"78","o",1.66504513001318,6.23033364443108,11,"Virginia"
"79","t",0.137869133441028,9.09480514843017,49,"Virginia"
"80","d",1.56829846184983,4.81995696562808,16,"Michigan"
"81","p",1.55801160382418,6.70958137849811,34,"Indiana"
"82","i",0.363553664832358,5.43977932422422,16,"Rhode Island"
"83","e",-1.65611043357499,6.53645433811471,20,"Nebraska"
"84","k",-0.266431216398696,4.58159153070301,20,"Alabama"
"85","i",0.360661420968584,1.15691969485488,35,"Massachusetts"
"86","q",-1.65002929733692,2.24461770430207,18,"Texas"
"87","y",0.39308035769426,7.99703019054141,27,"Missouri"
"88","d",-1.21662211669215,3.90964848513249,39,"Alabama"
"89","z",-2.9642103263834,1.59502651006915,40,"Maryland"
"90","h",-1.56547279779359,7.66170101833995,47,"California"
"91","i",1.19037343579839,7.45033206604421,31,"Virginia"
"92","w",0.404969134573383,2.58463101182133,34,"Mississippi"
"93","q",-0.261060323246132,4.75624728843104,21,"Florida"
"94","z",-0.958156324040664,1.65598039107863,29,"Oklahoma"
"95","m",0.878918530398797,8.65493943134788,10,"Louisiana"
"96","h",0.0333641327531644,1.63489046588074,34,"Vermont"
"97","p",-0.152446653412656,3.09650088602211,33,"Nevada"
"98","n",1.80137746728666,9.22194573038723,35,"Delaware"
"99","p",1.75215594970068,8.17825253028423,47,"Alaska"
"100","u",0.891643085636745,5.79499082663096,39,"Texas"
