"","gender","subject","mark1","mark2","mark3"
"1","m",1,17,"20",15
"2","f",2,24,"330",23
"3","f",1,17,"16",NA
"4","f",1,17,"16",NA
"5","m",3,27,"23",21
"6","m",2,30,"22",24
"7","f",1,30,"21",25
"8","m",2,23,"24",24
"9","f",3,17,NA,20
"10","f",3,17,NA,20
"11","m",1,21,"24",24
"12","f",2,24,"25",24
"13","f",2,224,"22",25
"14","f",2,24,"330",23
"15","m",1,25,"27",24
"16","f",2,24,"24",25
"17","m",3,NA,"17",15
"18","m",2,22,"27",24
"19","f",1,30,"24",27
"20","f",2,29,"27",23
"21","m",3,29,"26",22
"22","f",1,NA,"17",15
"23","m",3,29,"26",22
"24","f",1,NA,"17",15
"25","m",1,21,"24",24
