citta;zona;manut;prezzoink;canone
Milano;zona A;insufficiente;50133;13
Firenze;zona B;discreto;48387;44
Bologna;zona E;pessimo;72233;19
Milano;zona A;pessimo;52755;50
Milano;zona A;insufficiente;70269;47
Milano;zona D;insufficiente;54135;90
Milano;zona A;insufficiente;50133;13
Milano;zona E;ottimo;12943;85
Bologna;zona D;ottimo;65613;22
Bologna;zona E;pessimo;72233;19
Firenze;zona D;ottimo;26053;93
Cagliari;zona C;buono;72140;63
Cagliari;zona A;pessimo;45302;72
Bologna;zona A;discreto;19521;32
Bologna;zona D;discreto;82582;23
Roma;zona C;buono;24557;73
Firenze;zona A;buono;27273;18
Roma;zona B;buono;31756;57
Cagliari;zona B;insufficiente;99207;19
Firenze;zona D;insufficiente;71915;47
Roma;zona D;discreto;6599500;38
Bologna;zona E;insufficiente;59397;67
Bologna;zona A;discreto;60751;51
Firenze;zona D;insufficiente;53563;90
Bologna;zona E;insufficiente;59397;67
Cagliari;zona D;pessimo;2422;51
Roma;zona D;discreto;9560000;23
Roma;zona D;discreto;9560;23
Cagliari;zona B;insufficiente;99207;19
