"","year","continent","Country","Cost of Living Index","Rent Index","Cost of Living Plus Rent Index","Groceries Index","Restaurant Price Index","Local Purchasing Power Index"
"1",2016,"africa","Ghana",63.44,53.34,58.59,59.32,51.88,18.44
"2",2016,"africa","Zimbabwe",54.51,14.59,35.32,46,45.37,36.42
"3",2016,"africa","Tanzania",49.51,25.71,38.07,42.76,35.74,53.86
"4",2016,"africa","Mauritius",47.89,15.12,32.14,44.1,37.22,71.93
"5",2016,"africa","Nigeria",47.16,22.9,35.5,42.68,35.78,48.87
"6",2016,"africa","Zambia",45.53,21.28,33.88,34.04,31.59,142.24
"7",2016,"africa","Ethiopia",44.27,21.3,33.23,38.42,24.34,20.74
"8",2016,"africa","Kenya",39.84,12.66,26.78,37.86,29.11,31.07
"9",2016,"africa","Namibia",39.74,16.67,28.65,32.66,35.68,49.16
"10",2016,"africa","Libya",39.66,14.08,27.36,39.71,32.17,62.51
"11",2016,"africa","Botswana",37.65,8.49,23.64,31.46,29.96,76.27
"12",2016,"africa","Egypt",36.71,9.63,23.69,33.13,31.8,40.3
"13",2016,"africa","Morocco",35.56,9.67,23.12,31.74,23.98,48.74
"14",2016,"africa","South Africa",34.75,13.18,24.38,29.15,32.27,126.1
"15",2016,"africa","Tunisia",30.67,7.05,19.32,29.9,18.34,46.24
"16",2016,"africa","Algeria",28.89,7.1,18.42,30.5,18.77,49.46
"17",2016,"america","Bermuda",133.68,120.12,127.17,131.95,121.27,118.54
"18",2016,"america","Bahamas",107.54,38.21,74.22,107.12,88.43,58.96
"19",2016,"america","United States",74.08,38.39,56.93,75.69,69.13,139.17
"20",2016,"america","Puerto Rico",66.73,19.7,44.13,65.94,58.71,108.26
"21",2016,"america","Canada",64.82,26.83,46.56,65.04,60.04,134.81
"22",2016,"america","Argentina",64.09,18.07,41.97,52.51,64.19,74.92
"23",2016,"america","Venezuela",60.02,11.51,36.71,73.7,47.09,14.27
"24",2016,"america","Belize",59.42,11.88,36.57,51.2,38.11,146.27
"25",2016,"america","Costa Rica",57.76,16.15,37.76,56.87,46.54,67.59
"26",2016,"america","Jamaica",55.7,12.56,34.97,54.12,38.73,48.83
